sentence,punc,numbers,spaces,characters,stopwords,position,order,noun,preposition,verb,adjectives,wordratio,overlaping_words,unique_words,title_words,selection,document_number
محترمہ فاطمہ جناح ۳۴ جولائی ۱۸۹۳ء کو کراچی میں پیدا ہوئیں ,0,0.103448276,0.189655172,1.01754386,0.25,0.01754386,1,0.416666667,0.166666667,0.166666667,0,0.011653607,0.75,-0.738346393,0.166666667,1,1
 وہ قائداعظم محمد علی جناح سے قریباً ۷ سال چھوٹی تھیں ,0,0.018518519,0.222222222,0.947368421,0.307692308,0.035087719,2,0.307692308,0.153846154,0.076923077,0.153846154,0.01084991,0.769230769,-0.75838086,0.076923077,0,1
 محترمہ فاطمہ جناح ابھی چھوٹی ہی تھیں کہ ان کی والدہ محترمہ کا انتقال ہو گیا ,0,0,0.220779221,1.350877193,0.555555556,0.052631579,3,0.111111111,0.222222222,0.222222222,0.055555556,0.015471167,0.888888889,-0.873417722,0.111111111,0,1
 ۸ برس کی عمر میں باپ کا سایہ بھی سر سے اُٹھ گیا ,0,0.020408163,0.285714286,0.859649123,0.4,0.070175439,4,0.133333333,0.4,0.2,0,0.009845288,0.533333333,-0.523488045,0,1,1
 ان دونوں قائداعظم محمد علی جناح بمبئی میں وکالت کر رہے تھے ,0,0,0.216666667,1.052631579,0.428571429,0.087719298,5,0.357142857,0.214285714,0.214285714,0,0.012055455,0.785714286,-0.773658831,0.071428571,1,1
 والدین کے انتقال کے بعد انھوں نے فاطمہ جناح کو بمبئی بلا لیا ,0,0,0.225806452,1.087719298,0.4,0.105263158,6,0.333333333,0.333333333,0.133333333,0,0.012457304,0.866666667,-0.854209363,0.133333333,0,1
 محترمہ فاطمہ جناح کی تعلیم کا آغاز تو کراچی ہی میں ہو چکا تھا ,0,0,0.238095238,1.105263158,0.4375,0.122807018,7,0.1875,0.375,0.25,0,0.012658228,0.875,-0.862341772,0.125,0,1
 بمبئی پہنچ کر وہ کانوینٹ سکول میں داخل ہو گئیں ,0,0,0.229166667,0.842105263,0.333333333,0.140350877,8,0.083333333,0.25,0.333333333,0.083333333,0.009644364,0.666666667,-0.657022303,0,0,1
 ۱۹۱۰ء میں محترمہ فاطمہ جناح نے میٹرک کے امتحان میں امتیازی نمبروں سے کامیابی حاصل کی ,0,0.046511628,0.197674419,1.50877193,0.333333333,0.157894737,9,0.166666667,0.333333333,0.055555556,0.055555556,0.017279486,0.833333333,-0.816053848,0.111111111,1,1
 میٹرک کرنے کے بعد انھوں نے سینئر کیمبرج اور پھر ۱۹۲۲ء میں ڈینٹل سرجن کا امتحان بھی اعلیٰ نمبروں سے پاس کر لیا ,0,0.036036036,0.216216216,1.947368421,0.52,0.175438596,10,0.08,0.4,0.2,0.08,0.022302592,0.84,-0.817697408,0,1,1
 ڈینٹل سرجن بننے کے بعد انھوں نے بمبئی میں اپنا کلینک کھول لیا ,0,0,0.222222222,1.105263158,0.4,0.192982456,11,0.133333333,0.266666667,0.333333333,0,0.012658228,0.733333333,-0.720675105,0,1,1
